OrderBookEventImpl{instrumentId=4001, valuationBidPrice=1.27216, timeStamp=1352483961316, valuationAskPrice=1.2722, lastMarketClosePrice=1.27466, bidPrices=[PricePoint{price=1.27216, quantity=150}, PricePoint{price=1.27215, quantity=260}, PricePoint{price=1.27214, quantity=300}, PricePoint{price=1.27213, quantity=100}, PricePoint{price=1.27212, quantity=1300}], askPrices=[PricePoint{price=1.2722, quantity=300}, PricePoint{price=1.27221, quantity=50}, PricePoint{price=1.27222, quantity=250}, PricePoint{price=1.27223, quantity=250}, PricePoint{price=1.27225, quantity=1150}], lastTradedPrice=1.27217, dailyHighestTradedPrice=1.27906, dailyLowestTradedPrice=1.269, marketClosePriceTimeStamp='1352412000000'}, timereceived='1352483961889', instruname=EUR/USD, obeventrow=1

OrderBookEventImpl{instrumentId=4001, valuationBidPrice=1.27216, timeStamp=1352483961906, valuationAskPrice=1.2722, lastMarketClosePrice=1.27466, bidPrices=[PricePoint{price=1.27216, quantity=100}, PricePoint{price=1.27215, quantity=110}, PricePoint{price=1.27214, quantity=300}, PricePoint{price=1.27213, quantity=150}, PricePoint{price=1.27212, quantity=1150}], askPrices=[PricePoint{price=1.2722, quantity=300}, PricePoint{price=1.27221, quantity=100}, PricePoint{price=1.27222, quantity=350}, PricePoint{price=1.27223, quantity=100}, PricePoint{price=1.27224, quantity=300}], lastTradedPrice=1.27217, dailyHighestTradedPrice=1.27906, dailyLowestTradedPrice=1.269, marketClosePriceTimeStamp='1352412000000'}, timereceived='1352483961989', instruname=EUR/USD, obeventrow=2

OrderBookEventImpl{instrumentId=4001, valuationBidPrice=1.27216, timeStamp=1352483962011, valuationAskPrice=1.2722, lastMarketClosePrice=1.27466, bidPrices=[PricePoint{price=1.27216, quantity=100}, PricePoint{price=1.27215, quantity=110}, PricePoint{price=1.27214, quantity=350}, PricePoint{price=1.27213, quantity=250}, PricePoint{price=1.27212, quantity=1000}], askPrices=[PricePoint{price=1.2722, quantity=300}, PricePoint{price=1.27221, quantity=150}, PricePoint{price=1.27222, quantity=150}, PricePoint{price=1.27223, quantity=250}, PricePoint{price=1.27225, quantity=1150}], lastTradedPrice=1.27217, dailyHighestTradedPrice=1.27906, dailyLowestTradedPrice=1.269, marketClosePriceTimeStamp='1352412000000'}, timereceived='1352483962090', instruname=EUR/USD, obeventrow=3

OrderBookEventImpl{instrumentId=4001, valuationBidPrice=1.27216, timeStamp=1352483962105, valuationAskPrice=1.2722, lastMarketClosePrice=1.27466, bidPrices=[PricePoint{price=1.27216, quantity=150}, PricePoint{price=1.27215, quantity=260}, PricePoint{price=1.27214, quantity=300}, PricePoint{price=1.27213, quantity=100}, PricePoint{price=1.27212, quantity=1300}], askPrices=[PricePoint{price=1.2722, quantity=300}, PricePoint{price=1.27221, quantity=150}, PricePoint{price=1.27222, quantity=150}, PricePoint{price=1.27223, quantity=250}, PricePoint{price=1.27225, quantity=1150}], lastTradedPrice=1.27217, dailyHighestTradedPrice=1.27906, dailyLowestTradedPrice=1.269, marketClosePriceTimeStamp='1352412000000'}, timereceived='1352483962189', instruname=EUR/USD, obeventrow=4

OrderBookEventImpl{instrumentId=4001, valuationBidPrice=1.27216, timeStamp=1352483963011, valuationAskPrice=1.2722, lastMarketClosePrice=1.27466, bidPrices=[PricePoint{price=1.27216, quantity=150}, PricePoint{price=1.27215, quantity=260}, PricePoint{price=1.27214, quantity=300}, PricePoint{price=1.27213, quantity=100}, PricePoint{price=1.27212, quantity=1300}], askPrices=[PricePoint{price=1.2722, quantity=300}, PricePoint{price=1.27221, quantity=50}, PricePoint{price=1.27222, quantity=250}, PricePoint{price=1.27223, quantity=250}, PricePoint{price=1.27225, quantity=1150}], lastTradedPrice=1.27217, dailyHighestTradedPrice=1.27906, dailyLowestTradedPrice=1.269, marketClosePriceTimeStamp='1352412000000'}, timereceived='1352483963090', instruname=EUR/USD, obeventrow=5

OrderBookEventImpl{instrumentId=4001, valuationBidPrice=1.27216, timeStamp=1352483965111, valuationAskPrice=1.2722, lastMarketClosePrice=1.27466, bidPrices=[PricePoint{price=1.27216, quantity=150}, PricePoint{price=1.27215, quantity=260}, PricePoint{price=1.27214, quantity=300}, PricePoint{price=1.27213, quantity=100}, PricePoint{price=1.27212, quantity=1300}], askPrices=[PricePoint{price=1.2722, quantity=300}, PricePoint{price=1.27221, quantity=150}, PricePoint{price=1.27222, quantity=150}, PricePoint{price=1.27223, quantity=250}, PricePoint{price=1.27225, quantity=1150}], lastTradedPrice=1.27217, dailyHighestTradedPrice=1.27906, dailyLowestTradedPrice=1.269, marketClosePriceTimeStamp='1352412000000'}, timereceived='1352483965189', instruname=EUR/USD, obeventrow=6

OrderBookEventImpl{instrumentId=4001, valuationBidPrice=1.27216, timeStamp=1352483966212, valuationAskPrice=1.2722, lastMarketClosePrice=1.27466, bidPrices=[PricePoint{price=1.27216, quantity=150}, PricePoint{price=1.27215, quantity=260}, PricePoint{price=1.27214, quantity=300}, PricePoint{price=1.27213, quantity=100}, PricePoint{price=1.27212, quantity=1300}], askPrices=[PricePoint{price=1.2722, quantity=300}, PricePoint{price=1.27221, quantity=50}, PricePoint{price=1.27222, quantity=250}, PricePoint{price=1.27223, quantity=250}, PricePoint{price=1.27225, quantity=1150}], lastTradedPrice=1.27217, dailyHighestTradedPrice=1.27906, dailyLowestTradedPrice=1.269, marketClosePriceTimeStamp='1352412000000'}, timereceived='1352483966291', instruname=EUR/USD, obeventrow=7

OrderBookEventImpl{instrumentId=4001, valuationBidPrice=1.27218, timeStamp=1352483967805, valuationAskPrice=1.2722, lastMarketClosePrice=1.27466, bidPrices=[PricePoint{price=1.27218, quantity=50}, PricePoint{price=1.27217, quantity=150}, PricePoint{price=1.27216, quantity=100}, PricePoint{price=1.27215, quantity=110}, PricePoint{price=1.27214, quantity=600}], askPrices=[PricePoint{price=1.2722, quantity=300}, PricePoint{price=1.27221, quantity=50}, PricePoint{price=1.27222, quantity=200}, PricePoint{price=1.27223, quantity=100}, PricePoint{price=1.27225, quantity=1200}], lastTradedPrice=1.27217, dailyHighestTradedPrice=1.27906, dailyLowestTradedPrice=1.269, marketClosePriceTimeStamp='1352412000000'}, timereceived='1352483967890', instruname=EUR/USD, obeventrow=8

