OrderBookEventImpl{instrumentId=100723, valuationBidPrice=86.39, timeStamp=1352484001582, valuationAskPrice=86.44, lastMarketClosePrice=84.99, bidPrices=[PricePoint{price=86.39, quantity=100}, PricePoint{price=86.38, quantity=100}, PricePoint{price=86.34, quantity=100}, PricePoint{price=86.29, quantity=200}, PricePoint{price=84.69, quantity=1}], askPrices=[PricePoint{price=86.44, quantity=100}, PricePoint{price=86.46, quantity=100}, PricePoint{price=86.49, quantity=100}, PricePoint{price=86.54, quantity=200}], lastTradedPrice=86.37, dailyHighestTradedPrice=86.37, dailyLowestTradedPrice=84.2, marketClosePriceTimeStamp='1352408400000'}, timereceived='1352484002217', instruname=CLZ2, obeventrow=98

OrderBookEventImpl{instrumentId=100723, valuationBidPrice=86.39, timeStamp=1352484001582, valuationAskPrice=86.44, lastMarketClosePrice=84.99, bidPrices=[PricePoint{price=86.39, quantity=100}, PricePoint{price=86.38, quantity=100}, PricePoint{price=86.34, quantity=100}, PricePoint{price=86.29, quantity=200}, PricePoint{price=84.69, quantity=1}], askPrices=[PricePoint{price=86.44, quantity=100}, PricePoint{price=86.46, quantity=100}, PricePoint{price=86.49, quantity=100}, PricePoint{price=86.54, quantity=200}], lastTradedPrice=86.37, dailyHighestTradedPrice=86.37, dailyLowestTradedPrice=84.2, marketClosePriceTimeStamp='1352408400000'}, timereceived='1352484002217', instruname=CLZ2, obeventrow=98

OrderBookEventImpl{instrumentId=100723, valuationBidPrice=86.39, timeStamp=1352484003981, valuationAskPrice=86.44, lastMarketClosePrice=84.99, bidPrices=[PricePoint{price=86.39, quantity=100}, PricePoint{price=86.38, quantity=100}, PricePoint{price=86.34, quantity=100}, PricePoint{price=86.29, quantity=200}, PricePoint{price=84.69, quantity=1}], askPrices=[PricePoint{price=86.44, quantity=100}, PricePoint{price=86.46, quantity=100}, PricePoint{price=86.49, quantity=100}, PricePoint{price=86.54, quantity=200}, PricePoint{price=86.98, quantity=1}], lastTradedPrice=86.37, dailyHighestTradedPrice=86.37, dailyLowestTradedPrice=84.2, marketClosePriceTimeStamp='1352408400000'}, timereceived='1352484004069', instruname=CLZ2, obeventrow=109

OrderBookEventImpl{instrumentId=100723, valuationBidPrice=86.39, timeStamp=1352484003981, valuationAskPrice=86.44, lastMarketClosePrice=84.99, bidPrices=[PricePoint{price=86.39, quantity=100}, PricePoint{price=86.38, quantity=100}, PricePoint{price=86.34, quantity=100}, PricePoint{price=86.29, quantity=200}, PricePoint{price=84.69, quantity=1}], askPrices=[PricePoint{price=86.44, quantity=100}, PricePoint{price=86.46, quantity=100}, PricePoint{price=86.49, quantity=100}, PricePoint{price=86.54, quantity=200}, PricePoint{price=86.98, quantity=1}], lastTradedPrice=86.37, dailyHighestTradedPrice=86.37, dailyLowestTradedPrice=84.2, marketClosePriceTimeStamp='1352408400000'}, timereceived='1352484004069', instruname=CLZ2, obeventrow=109

OrderBookEventImpl{instrumentId=100723, valuationBidPrice=86.4, timeStamp=1352484005831, valuationAskPrice=86.45, lastMarketClosePrice=84.99, bidPrices=[PricePoint{price=86.4, quantity=100}, PricePoint{price=86.39, quantity=100}, PricePoint{price=86.35, quantity=100}, PricePoint{price=86.3, quantity=200}, PricePoint{price=84.69, quantity=1}], askPrices=[PricePoint{price=86.45, quantity=100}, PricePoint{price=86.47, quantity=100}, PricePoint{price=86.5, quantity=100}, PricePoint{price=86.55, quantity=200}, PricePoint{price=86.98, quantity=1}], lastTradedPrice=86.37, dailyHighestTradedPrice=86.37, dailyLowestTradedPrice=84.2, marketClosePriceTimeStamp='1352408400000'}, timereceived='1352484005868', instruname=CLZ2, obeventrow=112

OrderBookEventImpl{instrumentId=100723, valuationBidPrice=86.4, timeStamp=1352484005831, valuationAskPrice=86.45, lastMarketClosePrice=84.99, bidPrices=[PricePoint{price=86.4, quantity=100}, PricePoint{price=86.39, quantity=100}, PricePoint{price=86.35, quantity=100}, PricePoint{price=86.3, quantity=200}, PricePoint{price=84.69, quantity=1}], askPrices=[PricePoint{price=86.45, quantity=100}, PricePoint{price=86.47, quantity=100}, PricePoint{price=86.5, quantity=100}, PricePoint{price=86.55, quantity=200}, PricePoint{price=86.98, quantity=1}], lastTradedPrice=86.37, dailyHighestTradedPrice=86.37, dailyLowestTradedPrice=84.2, marketClosePriceTimeStamp='1352408400000'}, timereceived='1352484005868', instruname=CLZ2, obeventrow=112

OrderBookEventImpl{instrumentId=100723, valuationBidPrice=86.41, timeStamp=1352484006684, valuationAskPrice=86.46, lastMarketClosePrice=84.99, bidPrices=[PricePoint{price=86.41, quantity=100}, PricePoint{price=86.4, quantity=100}, PricePoint{price=86.36, quantity=100}, PricePoint{price=86.31, quantity=200}, PricePoint{price=84.69, quantity=1}], askPrices=[PricePoint{price=86.46, quantity=100}, PricePoint{price=86.48, quantity=100}, PricePoint{price=86.51, quantity=100}, PricePoint{price=86.56, quantity=200}, PricePoint{price=86.98, quantity=1}], lastTradedPrice=86.37, dailyHighestTradedPrice=86.37, dailyLowestTradedPrice=84.2, marketClosePriceTimeStamp='1352408400000'}, timereceived='1352484006770', instruname=CLZ2, obeventrow=115

OrderBookEventImpl{instrumentId=100723, valuationBidPrice=86.41, timeStamp=1352484006684, valuationAskPrice=86.46, lastMarketClosePrice=84.99, bidPrices=[PricePoint{price=86.41, quantity=100}, PricePoint{price=86.4, quantity=100}, PricePoint{price=86.36, quantity=100}, PricePoint{price=86.31, quantity=200}, PricePoint{price=84.69, quantity=1}], askPrices=[PricePoint{price=86.46, quantity=100}, PricePoint{price=86.48, quantity=100}, PricePoint{price=86.51, quantity=100}, PricePoint{price=86.56, quantity=200}, PricePoint{price=86.98, quantity=1}], lastTradedPrice=86.37, dailyHighestTradedPrice=86.37, dailyLowestTradedPrice=84.2, marketClosePriceTimeStamp='1352408400000'}, timereceived='1352484006770', instruname=CLZ2, obeventrow=115

OrderBookEventImpl{instrumentId=100723, valuationBidPrice=86.4, timeStamp=1352484008042, valuationAskPrice=86.45, lastMarketClosePrice=84.99, bidPrices=[PricePoint{price=86.4, quantity=100}, PricePoint{price=86.39, quantity=100}, PricePoint{price=86.35, quantity=100}, PricePoint{price=86.3, quantity=200}, PricePoint{price=84.69, quantity=1}], askPrices=[PricePoint{price=86.45, quantity=100}, PricePoint{price=86.47, quantity=100}, PricePoint{price=86.5, quantity=100}, PricePoint{price=86.55, quantity=200}, PricePoint{price=86.98, quantity=1}], lastTradedPrice=86.37, dailyHighestTradedPrice=86.37, dailyLowestTradedPrice=84.2, marketClosePriceTimeStamp='1352408400000'}, timereceived='1352484008069', instruname=CLZ2, obeventrow=119

OrderBookEventImpl{instrumentId=100723, valuationBidPrice=86.4, timeStamp=1352484008042, valuationAskPrice=86.45, lastMarketClosePrice=84.99, bidPrices=[PricePoint{price=86.4, quantity=100}, PricePoint{price=86.39, quantity=100}, PricePoint{price=86.35, quantity=100}, PricePoint{price=86.3, quantity=200}, PricePoint{price=84.69, quantity=1}], askPrices=[PricePoint{price=86.45, quantity=100}, PricePoint{price=86.47, quantity=100}, PricePoint{price=86.5, quantity=100}, PricePoint{price=86.55, quantity=200}, PricePoint{price=86.98, quantity=1}], lastTradedPrice=86.37, dailyHighestTradedPrice=86.37, dailyLowestTradedPrice=84.2, marketClosePriceTimeStamp='1352408400000'}, timereceived='1352484008069', instruname=CLZ2, obeventrow=119

OrderBookEventImpl{instrumentId=100723, valuationBidPrice=86.41, timeStamp=1352484010619, valuationAskPrice=86.46, lastMarketClosePrice=84.99, bidPrices=[PricePoint{price=86.41, quantity=100}, PricePoint{price=86.4, quantity=100}, PricePoint{price=86.36, quantity=100}, PricePoint{price=86.31, quantity=200}, PricePoint{price=84.69, quantity=1}], askPrices=[PricePoint{price=86.46, quantity=100}, PricePoint{price=86.48, quantity=100}, PricePoint{price=86.51, quantity=100}, PricePoint{price=86.56, quantity=200}, PricePoint{price=86.98, quantity=1}], lastTradedPrice=86.37, dailyHighestTradedPrice=86.37, dailyLowestTradedPrice=84.2, marketClosePriceTimeStamp='1352408400000'}, timereceived='1352484010670', instruname=CLZ2, obeventrow=124

OrderBookEventImpl{instrumentId=100723, valuationBidPrice=86.41, timeStamp=1352484010619, valuationAskPrice=86.46, lastMarketClosePrice=84.99, bidPrices=[PricePoint{price=86.41, quantity=100}, PricePoint{price=86.4, quantity=100}, PricePoint{price=86.36, quantity=100}, PricePoint{price=86.31, quantity=200}, PricePoint{price=84.69, quantity=1}], askPrices=[PricePoint{price=86.46, quantity=100}, PricePoint{price=86.48, quantity=100}, PricePoint{price=86.51, quantity=100}, PricePoint{price=86.56, quantity=200}, PricePoint{price=86.98, quantity=1}], lastTradedPrice=86.37, dailyHighestTradedPrice=86.37, dailyLowestTradedPrice=84.2, marketClosePriceTimeStamp='1352408400000'}, timereceived='1352484010670', instruname=CLZ2, obeventrow=124

OrderBookEventImpl{instrumentId=100723, valuationBidPrice=86.4, timeStamp=1352484011744, valuationAskPrice=86.44, lastMarketClosePrice=84.99, bidPrices=[PricePoint{price=86.4, quantity=100}, PricePoint{price=86.39, quantity=100}, PricePoint{price=86.35, quantity=100}, PricePoint{price=86.3, quantity=200}, PricePoint{price=84.69, quantity=1}], askPrices=[PricePoint{price=86.44, quantity=100}, PricePoint{price=86.46, quantity=100}, PricePoint{price=86.49, quantity=100}, PricePoint{price=86.54, quantity=200}, PricePoint{price=86.98, quantity=1}], lastTradedPrice=86.37, dailyHighestTradedPrice=86.37, dailyLowestTradedPrice=84.2, marketClosePriceTimeStamp='1352408400000'}, timereceived='1352484011769', instruname=CLZ2, obeventrow=128

OrderBookEventImpl{instrumentId=100723, valuationBidPrice=86.4, timeStamp=1352484011744, valuationAskPrice=86.44, lastMarketClosePrice=84.99, bidPrices=[PricePoint{price=86.4, quantity=100}, PricePoint{price=86.39, quantity=100}, PricePoint{price=86.35, quantity=100}, PricePoint{price=86.3, quantity=200}, PricePoint{price=84.69, quantity=1}], askPrices=[PricePoint{price=86.44, quantity=100}, PricePoint{price=86.46, quantity=100}, PricePoint{price=86.49, quantity=100}, PricePoint{price=86.54, quantity=200}, PricePoint{price=86.98, quantity=1}], lastTradedPrice=86.37, dailyHighestTradedPrice=86.37, dailyLowestTradedPrice=84.2, marketClosePriceTimeStamp='1352408400000'}, timereceived='1352484011769', instruname=CLZ2, obeventrow=128

